SampleID	CONTIG COUNT 	L50 	L90 	MAX 	MEAN 	MEDIAN 	MIN 	N50 	N90 	TOTAL LENGTH 	z1_BUSCO_Complete	z2_BUSCO_Single	z3_BUSCO_Duplicate	z4_BUSCO_Fragmented	z5_BUSCO_Missing	z6_BUSCO_NumGenes
SM122	548	90	381	23285	1808.85	1017	500	2819	716	991252	0.7	0.7	0.0	0.0	99.3	290
SM123	46	11	32	10362	2816.96	2192	517	4033	1368	129580	0.0	0.0	0.0	0.0	100.0	290
SM13	119	19	69	62246	4346.14	2604	502	7498	1762	517191	0.0	0.0	0.0	0.0	100.0	290
SM140	8732	1768	6397	32150	2966.96	1875	742	4127	1273	25907484	74.2	59.0	15.2	16.9	8.9	290
SM141	11896	2283	8048	81654	5058.72	3350	1000	7305	2251	60178557	97.2	43.8	53.4	2.1	0.7	290
SM142	4453	756	2685	68977	7057.14	4137	975	12331	2960	31425462	92.5	72.8	19.7	5.5	2.0	290
SM147	3754	567	2089	102755	8538.61	4489	1000	16930	3629	32053949	94.1	71.7	22.4	3.8	2.1	290
SM148	6720	1247	4468	61493	4386.78	2759	995	6924	1806	29479183	85.5	68.6	16.9	8.6	5.9	290
SM14c	871	151	590	22282	2299.22	1344	500	3852	950	2002622	0.0	0.0	0.0	0.3	99.7	290
SM16	357	61	249	21089	1825.23	1079	500	2936	731	651606	0.0	0.0	0.0	0.3	99.7	290
SM17	91	23	73	7962	1068.70	711	500	1286	554	97252	0.0	0.0	0.0	0.0	100.0	290
SM18	134	22	81	30147	3474.30	1682	504	6537	1224	465556	0.0	0.0	0.0	0.0	100.0	290
SM19	290	58	190	27576	2811.77	1862	500	4588	1218	815414	0.3	0.3	0.0	0.0	99.7	290
SM2	81	21	64	8023	1161.22	865	501	1483	565	94059	0.0	0.0	0.0	0.0	100.0	290
SM20	7240	1389	4968	46179	3983.18	2541	924	6001	1679	28838202	88.9	71.7	17.2	5.5	5.6	290
SM22	170	33	122	10132	1669.36	1103	501	2268	692	283791	0.0	0.0	0.0	0.0	100.0	290
SM24	5933	796	4345	68402	1663.44	851	500	2183	709	9869201	3.1	3.1	0.0	11.0	85.9	290
SM25	18016	2763	13576	46128	2659.18	1473	935	3780	1170	47907848	93.1	63.8	29.3	4.5	2.4	290
SM27	214	38	128	62245	3620.16	2229	502	5801	1634	774714	0.0	0.0	0.0	0.0	100.0	290
SM28	4725	492	3288	55091	1785.16	775	500	3588	666	8434901	6.6	6.6	0.0	18.3	75.1	290
SM29	476	74	307	83315	2375.21	1279	501	4313	913	1130602	0.0	0.0	0.0	0.0	100.0	290
SM35	500	92	343	13721	2046.35	1239	500	3107	841	1023175	0.0	0.0	0.0	0.0	100.0	290
SM36	3559	358	1290	142054	10093.53	2276	500	30574	5448	35922874	98.3	65.5	32.8	1.0	0.7	290
SM38	1887	76	292	587412	20779.11	1557	1000	162867	19775	39210173	-	-	-	-	-	-
SM42	3023	562	2261	18627	1455.27	917	500	1748	663	4399286	11.0	11.0	0.0	9.7	79.3	290
SM43	567	91	377	16971	2159.30	1235	500	3802	861	1224324	3.1	3.1	0.0	1.0	95.9	290
SM44	6930	1319	4669	44195	4238.59	2699	997	6614	1776	29373412	84.8	65.5	19.3	11.7	3.5	290
SM48	366	66	234	48699	3338.53	2064	509	5479	1456	1221902	0.0	0.0	0.0	0.0	100.0	290
SM49	294	48	210	17770	1644.94	921	501	2507	687	483613	0.0	0.0	0.0	0.0	100.0	290
SM50	307	52	217	24490	1805.23	1026	501	2707	759	554207	0.0	0.0	0.0	0.0	100.0	290
SM52	217	39	167	16977	1248.07	752	501	1318	587	270831	0.0	0.0	0.0	0.0	100.0	290
SM53	145	28	112	14227	1276.62	796	511	1538	591	185110	0.0	0.0	0.0	0.0	100.0	290
SM57	320	62	217	13175	2226.76	1527	500	3422	1013	712564	0.0	0.0	0.0	0.0	100.0	290
SM61	6953	1326	4677	53066	4317.06	2731	971	6740	1811	30016490	89.6	69.3	20.3	7.9	2.5	290
SM63	2894	326	1941	76677	3769.59	1672	1000	7858	1326	10909200	5.5	5.5	0.0	5.5	89.0	290
SM65	91	23	73	7962	1068.70	711	500	1286	554	97252	0.0	0.0	0.0	0.0	100.0	290
SM66	110	23	69	43500	4207.69	3567	504	5916	2288	462846	0.0	0.0	0.0	0.3	99.7	290
SM67	388	72	251	33770	2608.49	1601	503	4446	1165	1012094	0.0	0.0	0.0	0.7	99.3	290
SM69	5072	873	3206	69375	6225.81	3752	998	10358	2633	31577313	93.5	71.4	22.1	5.2	1.3	290
SM70	10408	1371	6961	65243	3632.68	1523	992	7376	1232	37808892	93.1	70.7	22.4	4.5	2.4	290
SM72	202	39	122	18036	3099.95	1593	501	5831	1213	626190	0.0	0.0	0.0	0.0	100.0	290
SM74	342	69	240	26429	1946.42	1251	500	2917	851	665675	0.0	0.0	0.0	0.0	100.0	290
SM76	3	1	2	8083	3152.33	828	546	8083	828	9457	0.0	0.0	0.0	0.0	100.0	290
SM77	281	47	205	15982	1581.85	918	501	2158	694	444500	0.0	0.0	0.0	0.0	100.0	290
SM78	3922	361	1448	170396	9611.34	2308	499	30178	4814	37695693	96.9	64.1	32.8	1.4	1.7	290
SM79	8920	1950	6818	26222	2542.30	1660	956	3282	1181	22677291	62.4	51.7	10.7	22.4	15.2	290
SM81	120	22	91	8891	1416.25	865	508	1812	649	169950	0.0	0.0	0.0	0.0	100.0	290
SM87	234	46	183	24566	1208.58	731	500	1342	597	282807	0.0	0.0	0.0	0.0	100.0	290
SM9	829	53	464	142836	2899.95	1001	500	6421	888	2404057	3.4	3.4	0.0	2.8	93.8	290
SM91	1178	186	840	62246	1658.60	915	500	2640	672	1953831	2.4	2.4	0.0	3.8	93.8	290
SM92	282	53	211	25030	1400.95	855	500	1869	624	395069	0.0	0.0	0.0	0.0	100.0	290
SM97	560	100	397	12387	1794.40	1021	500	2766	742	1004863	0.0	0.0	0.0	0.0	100.0	290
SM99	64	17	51	8172	1136.09	858	506	1256	592	72710	0.0	0.0	0.0	0.0	100.0	290
SM_100	13918	1986	8972	41635	2327.55	1093	471	4449	862	32394902	81.7	64.8	16.9	14.1	4.2	290
SM_113	40774	13483	33884	26515	1802.29	1531	925	1864	1137	73486625	75.9	49.7	26.2	19.7	4.4	290
SM_114	16949	3714	12451	33617	3302.20	2307	982	4275	1538	55969034	89.7	52.8	36.9	7.2	3.1	290
SM_119	14408	2072	10340	52119	3195.08	1683	954	5270	1292	46034641	92.7	60.3	32.4	5.5	1.8	290
SM_129	20012	1913	12750	59459	2093.13	803	260	5468	677	41887641	91.0	69.3	21.7	5.9	3.1	290
SM_131	8961	1127	4648	50377	3829.16	1606	500	8677	1488	34313113	91.3	67.9	23.4	6.9	1.8	290
SM_132	9003	1055	4597	58455	3834.73	1500	467	9052	1446	34524036	93.4	71.0	22.4	4.1	2.5	290
SM_133	12723	1003	6481	77169	2959.43	786	498	10478	776	37652821	95.1	73.4	21.7	3.1	1.8	290
SM_134	8601	1043	4784	126395	7766.21	3560	960	16132	2996	66797139	97.2	21.0	76.2	1.7	1.1	290
SM_135	350	75	239	24518	4083.57	2639	1000	6467	1668	1429251	0.7	0.7	0.0	0.3	99.0	290
SM_138	5758	554	2317	119036	5907.40	1557	487	18490	2485	34014823	95.5	71.7	23.8	3.1	1.4	290
SM_139	6789	629	2814	110312	5132.32	1342	498	15843	2038	34843324	94.4	70.3	24.1	3.8	1.8	290
SM_143	5752	517	2224	106987	5903.62	1417	492	19707	2515	33957629	95.9	71.4	24.5	2.8	1.3	290
SM_144	22620	3010	16712	73104	2909.06	1600	977	3686	1245	65802872	94.9	52.8	42.1	4.1	1.0	290
SM_145	10336	1013	6711	89384	3983.01	1553	1000	10371	1312	41168377	93.5	67.6	25.9	4.8	1.7	290
